timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
941972000,941972000,1310988,-0.002130529,-0.0010652645,0.0,13.196503,0,1
942972000,942972000,1310988,-0.0031957934,-0.0005326322,0.0015978967,13.196564,0,1
943972000,943972000,1310988,-0.00479369,-0.0010652645,-0.0031957934,13.196564,0,1
944972000,944972000,1310988,-0.002130529,0.002130529,0.0010652645,13.196747,0,1
945972000,945972000,1310988,0.0010652645,-0.0031957934,0.0058589545,13.196808,0,1
946972000,946972000,1310988,0.0005326322,0.0031957934,-0.0015978967,13.196869,0,1
947972000,947972000,1310988,-0.0037284256,-0.002130529,0.0058589545,13.196808,0,1
948972000,948972000,1310988,-0.0026631611,-0.008522116,0.0063915867,13.196686,0,1
949972000,949972000,1310988,-0.0031957934,0.004261058,-0.0015978967,13.196655,0,1
950972000,950972000,1310988,0.0026631611,-0.00479369,0.0015978967,13.196625,0,1
951972000,951972000,1310988,-0.0037284256,0.002130529,0.0015978967,13.196564,0,1
952972000,952972000,1310988,0.007989483,-0.0005326322,0.0037284256,13.196533,0,1
953972000,953972000,1310988,0.008522116,-0.0005326322,-0.0010652645,13.196625,0,1
954972000,954972000,1310988,-0.0031957934,0.0053263223,0.0053263223,13.196686,0,1
955972000,955972000,1310988,-0.0015978967,-0.0026631611,0.0037284256,13.196533,0,1
956972000,956972000,1310988,-0.0058589545,0.0058589545,0.007456851,13.196533,0,1
957972000,957972000,1310988,-0.0026631611,0.0005326322,-0.0053263223,13.196442,0,1
958972000,958972000,1310988,0.0,-0.009054748,0.0026631611,13.196289,0,1
959972000,959972000,1310988,-0.0015978967,-0.008522116,0.0026631611,13.196289,0,1
960972000,960972000,1310988,-0.00958738,-0.0031957934,0.004261058,13.196289,0,1
961972000,961972000,1310988,-0.0026631611,-0.006924219,-0.002130529,13.19635,0,1
962972000,962972000,1310988,0.007989483,0.0005326322,-0.0037284256,13.196442,0,1
963972000,963972000,1310988,0.0031957934,-0.0037284256,-0.0005326322,13.19635,0,1
964972000,964972000,1310988,-0.0005326322,-0.0010652645,-0.0005326322,13.196472,0,1
965972000,965972000,1310988,-0.0015978967,-0.0037284256,0.0,13.196472,0,1
966972000,966972000,1310988,-0.0015978967,-0.0010652645,-0.0015978967,13.196411,0,1
967972000,967972000,1310988,0.0015978967,-0.004261058,0.0058589545,13.196289,0,1
968972000,968972000,1310988,-0.0015978967,-0.0058589545,0.0026631611,13.196289,0,1
969972000,969972000,1310988,0.007456851,0.011185277,0.0053263223,13.196411,0,1
970972000,970972000,1310988,0.004261058,0.002130529,0.0053263223,13.196442,0,1
971972000,971972000,1310988,0.006924219,-0.004261058,0.0,13.19632,0,1
972972000,972972000,1310988,-0.0015978967,-0.0031957934,0.0053263223,13.19635,0,1
973972000,973972000,1310988,0.002130529,0.0015978967,0.0063915867,13.196442,0,1
974972000,974972000,1310988,-0.002130529,0.0010652645,0.0,13.196381,0,1
975972000,975972000,1310988,0.0063915867,0.002130529,0.0053263223,13.196228,0,1
976972000,976972000,1310988,0.0031957934,0.0005326322,-0.0010652645,13.1961975,0,1
977972000,977972000,1310988,0.006924219,0.007989483,0.002130529,13.196075,0,1
978972000,978972000,1310988,0.89109373,0.011185277,0.055926383,13.195862,0,1
979972000,979972000,1310988,0.08894958,0.27217507,0.47830373,13.197479,0,1
980972000,980972000,1310988,-0.1635181,0.30466563,0.3323625,13.200165,0,1
981972000,981972000,1310988,-0.19441076,0.099069595,0.2790993,13.199402,0,1
982972000,982972000,1310988,-0.17044231,0.047404267,0.16990969,13.1979065,0,1
983972000,983972000,1310988,-0.098004326,-0.00958738,0.0479369,13.196075,0,1
984972000,984972000,1310988,-0.046339005,-0.0037284256,0.03834952,13.195343,0,1
985972000,985972000,1310988,-0.020772656,-0.0026631611,-0.024501082,13.195099,0,1
986972000,986972000,1310988,0.0015978967,0.0005326322,0.002130529,13.194946,0,1
987972000,987972000,1310988,0.0015978967,-0.0005326322,-0.010120012,13.195038,0,1
988972000,988972000,1310988,0.22050974,0.19014971,0.3174488,13.195923,0,1
989972000,989972000,1310988,-0.07350325,0.33502567,0.45380265,13.199097,0,1
990972000,990972000,1310988,-0.18801917,0.15180019,0.24341293,13.19931,0,1
991972000,991972000,1310988,-0.17417073,0.07456851,0.2593919,13.198395,0,1
992972000,992972000,1310988,-0.13741912,0.004261058,0.06231797,13.196869,0,1
993972000,993972000,1310988,-0.06870956,-0.00479369,0.06657903,13.19574,0,1
994972000,994972000,1310988,-0.03834952,0.00479369,-0.015446335,13.195251,0,1
995972000,995972000,1310988,0.0031957934,-0.0058589545,-0.004261058,13.195038,0,1
996972000,996972000,1310988,0.002130529,-0.0010652645,-0.010652645,13.194946,0,1
997972000,997972000,1310988,0.011717909,0.0026631611,-0.00958738,13.194977,0,1
998972000,998972000,1310988,0.008522116,-0.0010652645,-0.0026631611,13.194946,0,1
999972000,999972000,1310988,0.010120012,-0.0015978967,-0.0010652645,13.194977,0,1
1000972000,1000972000,1310988,-0.00479369,0.0037284256,0.0,13.195129,0,1
1001972000,1001972000,1310988,0.006924219,-0.0010652645,-0.0010652645,13.195343,0,1
1002972000,1002972000,1310988,0.0031957934,-0.004261058,0.0010652645,13.195404,0,1
1003972000,1003972000,1310988,0.010120012,0.0005326322,0.002130529,13.195557,0,1
1004972000,1004972000,1310988,-0.0031957934,-0.0031957934,0.0058589545,13.195587,0,1
1005972000,1005972000,1310988,0.0010652645,-0.0037284256,0.0031957934,13.195557,0,1
1006972000,1006972000,1310988,-0.0005326322,0.0,0.0010652645,13.195404,0,1
1007972000,1007972000,1310988,-0.0058589545,-0.0031957934,0.0015978967,13.1953125,0,1
1008972000,1008972000,1310988,-0.0026631611,0.0037284256,-0.0026631611,13.195374,0,1
1009972000,1009972000,1310988,0.0005326322,-0.009054748,-0.0015978967,13.195282,0,1
1010972000,1010972000,1310988,0.0015978967,-0.0015978967,-0.0037284256,13.195221,0,1
1011972000,1011972000,1310988,0.0058589545,0.0053263223,0.0,13.195251,0,1
1012972000,1012972000,1310988,0.004261058,0.002130529,-0.0037284256,13.195251,0,1
1013972000,1013972000,1310988,0.0063915867,0.0031957934,0.002130529,13.195251,0,1
1014972000,1014972000,1310988,0.006924219,0.002130529,0.002130529,13.195282,0,1
1015972000,1015972000,1310988,-0.0010652645,-0.0031957934,0.0031957934,13.195404,0,1
